Index,username,password,usertype,email,address,zipcode,storeid
1,a,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
2,Admin,Admin!123,Admin,admin@groceryhub.com,NULL,NULL,NULL
3,asd,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
4,asda,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
5,asdasd,Asdfghjkl!@3,NULL,saicharan637@gmail.com,NULL,NULL,NULL
6,asdfasfaaaaaaaaaaaaadsf,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
7,asdvgfsdsdc,Asdfg!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
8,ffff,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
9,ffffffffffff,Asdfghjkl!23,NULL,saicharan637@gmail.com,NULL,NULL,NULL
10,john,asd,StoreManager,saicharan637@gmail.com,NULL,NULL,2
11,raj,Asdfghjkl!234,NULL,raj@gmail.com,NULL,NULL,NULL
12,ram,asd,Customer,ram@gmail.com,NULL,NULL,NULL
13,s1,Asdfghjkl!23,StoreManager,NULL,NULL,NULL,NULL
14,s2,Asdfghjkl!2345,StoreManager,sid@sid.com,NULL,NULL,NULL
15,sid,Asdfghjkl!2345,NULL,sid@sid.com,NULL,NULL,NULL
16,vgggg,Asdfghjkl!234,NULL,saicharan637@gmail.com,NULL,NULL,NULL
17,t,Asdfghjkl!23456,NULL,saicharan637@gmail.com,NULL,NULL,NULL
18,c1,Cc1@12345,Customer,c1@gmail.com,NULL,NULL,NULL
19,c2,Asdfghjkl!23,Customer,saicharan637@gmail.com,NULL,NULL,NULL
20,c4,ASdfghjkl!234,Customer,saicharan637@gmail.com,NULL,NULL,NULL
21,sai,Asdfghjkl!23,Customer,saicharan637@gmail.com,NULL,NULL,NULL
22,c3,Asdfghjkl!23,Customer,c3@gmail.com,NULL,NULL,NULL
23,user1,Asdfghjkl!23,Customer,saicharan637@gmail.com,NULL,NULL,NULL
24,s4,Asdfghjkl!23,StoreManager,saicharan637@gmail.com,NULL,NULL,4
